ID,Command,Log File,Result,All Detected Rules
1,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" |ba""se64"" -d| bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack1.log,Bypass Target Rule,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities | Decode Base64 Encoded Text
2,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba\se64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack2.log,Bypass Target Rule,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities | Decode Base64 Encoded Text
3,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba${EMPTY}se64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack3.log,Bypass Target Rule,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities | Decode Base64 Encoded Text
4,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b''ase64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack4.log,Trigger: Linux Base64 Encoded Pipe to Shell,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities | Decode Base64 Encoded Text | Linux Base64 Encoded Pipe to Shell
5,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b\ase64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack5.log,Bypass Target Rule,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities | Decode Base64 Encoded Text
6,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d|/bin/./bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack6.log,Bypass Target Rule,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities | Decode Base64 Encoded Text
7,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d |/bin//bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack7.log,Bypass Target Rule,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities | Decode Base64 Encoded Text
8,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b""ase64"" -d | b""ash""'",Linux_Base64_Encoded_Pipe_to_Shell_attack8.log,Bypass Target Rule,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities | Decode Base64 Encoded Text
9,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ba\sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack9.log,Bypass Target Rule,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities | Decode Base64 Encoded Text
10,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|ba""""se64 -d|bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack10.log,Bypass Target Rule,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities | Decode Base64 Encoded Text
11,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d | `which bash`'",Linux_Base64_Encoded_Pipe_to_Shell_attack11.log,Bypass Target Rule,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities | Decode Base64 Encoded Text
