ID,Command,Log File,Result,All Detected Rules
1,"bash -c ""echo 'dW5hbWUgLWE=' | perl -MMIME::Base64 -ne 'print decode_base64(\$_)' | ba\\sh""",Linux_Shell_Pipe_to_Shell_attack1.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
2,"bash -c ""echo 'dW5hbWUgLWE=' | perl -MMIME::Base64 -ne 'print decode_base64(\$_)' | \\bash""",Linux_Shell_Pipe_to_Shell_attack2.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
3,"bash -c ""echo 'dW5hbWUgLWE=' | perl -MMIME::Base64 -ne 'print decode_base64(\$_)' | /bin/\""bash\""""",Linux_Shell_Pipe_to_Shell_attack3.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
4,"bash -c ""echo 'dW5hbWUgLWE=' | perl -MMIME::Base64 -ne 'print decode_base64(\$_)' | (bash)""",Linux_Shell_Pipe_to_Shell_attack4.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
5,"bash -c ""echo 'dW5hbWUgLWE=' | perl -MMIME::Base64 -ne 'print decode_base64(\$_)' | \""b\""\""ash\""""",Linux_Shell_Pipe_to_Shell_attack5.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
6,"bash -c ""echo 'dW5hbWUgLWE=' | perl -MMIME::Base64 -ne 'print decode_base64(\$_)' | $0""",Linux_Shell_Pipe_to_Shell_attack6.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
7,"bash -c ""echo 'dW5hbWUgLWE=' | perl -MMIME::Base64 -ne 'print decode_base64(\$_)' |` which bash`""",Linux_Shell_Pipe_to_Shell_attack7.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
8,"bash -c ""echo 'dW5hbWUgLWE=' | perl -MMIME::Base64 -ne 'print decode_base64(\$_)' | $(echo bash)""",Linux_Shell_Pipe_to_Shell_attack8.log,Trigger: Linux Shell Pipe to Shell,System Information Discovery | Linux Shell Pipe to Shell | Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Pipe to Shell
9,"bash -c ""echo 'dW5hbWUgLWE=' | perl -MMIME::Base64 -ne 'print decode_base64(\$_)' | \\$(echo bash)""",Linux_Shell_Pipe_to_Shell_attack9.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
10,"bash -c ""echo 'dW5hbWUgLWE=' | perl -MMIME::Base64 -ne 'print decode_base64(\$_)' | $SHELL""",Linux_Shell_Pipe_to_Shell_attack10.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
