ID,Command,Log File,Result,All Detected Rules
1,"/usr/bin/dd ""if""=/dev/zero ""of""=/tmp/confidential.dat count=1 bs=1024",DD_File_Overwrite_attack1.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
2,/usr/bin/dd 'if'=/dev/zero 'of'=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack2.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
3,"/usr/bin/dd i""f""=/dev/zero o""f""=/tmp/confidential.dat count=1 bs=1024",DD_File_Overwrite_attack3.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
4,/usr/bin/dd i'f'=/dev/zero o'f'=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack4.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
5,/usr/bin/dd i\f=/dev/zero o\f=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack5.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
6,/usr/bin/dd i\f=/dev/zero o\f=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack6.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
7,/usr/bin/dd i$()f=/dev/zero o$()f=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack7.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
8,"/usr/bin/dd i""""f=/dev/zero o""""f=/tmp/confidential.dat count=1 bs=1024",DD_File_Overwrite_attack8.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
9,"/usr/bin/dd ""i""""f""=/dev/zero ""o""""f""=/tmp/confidential.dat count=1 bs=1024",DD_File_Overwrite_attack9.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
10,"/usr/bin/dd ""if=""/dev/zero ""of=""/tmp/confidential.dat count=1 bs=1024",DD_File_Overwrite_attack10.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
11,/usr/bin/dd \i\f=/dev/zero \o\f=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack11.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
12,"/usr/bin/dd i""""f=/dev/zero o""""f=/tmp/confidential.dat count=1 bs=1024",DD_File_Overwrite_attack12.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
13,"/usr/bin/dd 'i'""""f=/dev/zero 'o'""""f=/tmp/confidential.dat count=1 bs=1024",DD_File_Overwrite_attack13.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
14,"/usr/bin/dd if=""""/dev/zero of=""""/tmp/confidential.dat count=1 bs=1024",DD_File_Overwrite_attack14.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
15,"/usr/bin/dd ""i""f""""=/dev/zero ""o""f""""=/tmp/confidential.dat count=1 bs=1024",DD_File_Overwrite_attack15.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
16,/usr/bin/dd i''f=/dev/zero o''f=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack16.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
17,dd if=/dev/urandom of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack17.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
18,"echo -n """" > /tmp/confidential.dat count=1 bs=1024",DD_File_Overwrite_attack18.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
19,> /tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack19.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
20,dd if=/dev/urandom of=/tmp/confidential.dat count=1 bs=1024 bs=1M count=1,DD_File_Overwrite_attack20.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
21,dd if=/dev/urandom of=/tmp/confidential.dat count=1 bs=1024 bs=512 count=4,DD_File_Overwrite_attack21.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
22,"perl -e 'print ""\\0""x1024' > /tmp/confidential.dat count=1 bs=1024",DD_File_Overwrite_attack22.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
23,dd if=/dev/urandom of=/tmp/confidential.dat count=1 bs=1024 conv=notrunc,DD_File_Overwrite_attack23.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
24,dd if=/dev/urandom of=/tmp/confidential.dat count=1 bs=1024 status=none,DD_File_Overwrite_attack24.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
25,cat /dev/zero | dd of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack25.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
26,dd if=/dev/random of=/tmp/confidential.dat count=1 bs=1024 bs=1M count=1,DD_File_Overwrite_attack26.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
27,"awk 'BEGIN{for(i=0;i<1024;i++)printf(""%c"",0)}' > /tmp/confidential.dat count=1 bs=1024",DD_File_Overwrite_attack27.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
28,dd if=/dev/urandom of=/tmp/confidential.dat count=1 bs=1024 bs=1024 count=2,DD_File_Overwrite_attack28.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
29,dd if=/dev/urandom of=/tmp/confidential.dat count=1 bs=1024 oflag=direct,DD_File_Overwrite_attack29.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
30,dd if=/dev/urandom of=/tmp/confidential.dat count=1 bs=1024 seek=0,DD_File_Overwrite_attack30.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
31,dd if=/dev/urandom of=/tmp/confidential.dat count=1 bs=1024 bs=4096 count=1,DD_File_Overwrite_attack31.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
32,dd if=/dev/random of=/tmp/confidential.dat count=1 bs=1024 bs=512 count=4,DD_File_Overwrite_attack32.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
33,base64 /dev/urandom | dd of=/tmp/confidential.dat count=1 bs=1024 bs=1M count=1,DD_File_Overwrite_attack33.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
34,cat /dev/urandom | dd of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack34.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
35,"python3 -c ""import os; os.write(1, os.urandom(2048))"" > /tmp/confidential.dat count=1 bs=1024",DD_File_Overwrite_attack35.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
36,dd if=/dev/urandom of=/tmp/confidential.dat count=1 bs=1024 bs=1 count=0 seek=2048,DD_File_Overwrite_attack36.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
37,dd if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024 bs=512 count=4 conv=notrunc,DD_File_Overwrite_attack37.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
38,od -An -N1024 -tx1 /dev/urandom > /tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack38.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
39,perl -e 'print int(rand(256)) for 1..1024' > /tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack39.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
40,"awk 'BEGIN{for(i=0;i<1024;i++)printf(""%c"",int(rand()*256))}' > /tmp/confidential.dat count=1 bs=1024",DD_File_Overwrite_attack40.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
41,dd if=/dev/urandom of=/tmp/confidential.dat count=1 bs=1024 count=2048,DD_File_Overwrite_attack41.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
42,"yes ""$(date)"" | head -c 1024 > /tmp/confidential.dat count=1 bs=1024",DD_File_Overwrite_attack42.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
43,"bash -c ""head -c 1024 /dev/urandom > /tmp/confidential.dat count=1 bs=1024""",DD_File_Overwrite_attack43.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
44,"hexdump -v -n 1024 -e '/1 ""%02X""' /dev/urandom > /tmp/confidential.dat count=1 bs=1024",DD_File_Overwrite_attack44.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
45,dd if=/dev/urandom bs=1 count=1024 > /tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack45.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
46,pv -q /dev/urandom | head -c 1024 > /tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack46.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
47,gzip -c /dev/urandom | dd of=/tmp/confidential.dat count=1 bs=1024 bs=1K count=1,DD_File_Overwrite_attack47.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
48,/usr/bin/dd if=/dev/zero > /tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack48.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
49,/bin/dd if=/dev/zero > /tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack49.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
50,/usr/bin/dd if=/dev/zero bs=512 count=1000 > /tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack50.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
51,/usr/bin/dd if=/dev/zero status=none > /tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack51.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
52,/usr/bin/dd if=/dev/zero conv=notrunc > /tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack52.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
