ID,Command,Log File,Result,All Detected Rules
1,"/bin/echo ""IyEvYmluL2Jhc2gKZWNobyAiU2ltdWxhdGluZyBNYWxpY2lvdXMgUGF5bG9hZCI="" | base64 -d | bash",Linux_Base64_Encoded_Shebang_In_CLI_attack1.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
2,"/bin/echo ""IyEvYmluL2Jhc2gKZWNobyAiU2lt""""dWxhdGluZyBNYWxpY2lvdXMgUGF5bG9hZCI="" | base64 -d | bash",Linux_Base64_Encoded_Shebang_In_CLI_attack2.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
3,"/bin/echo ""IyEvYmluL2Jhc2gKZW""""NobyAiU2ltdWxhdGluZyBNYWxpY2lvdXMgUGF5bG9hZCI="" | base64 -d | bash",Linux_Base64_Encoded_Shebang_In_CLI_attack3.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
4,/bin/echo 'IyEvYmluL2Jhc2gKZWNobyAiU2ltdWxhdGluZyBNYWxpY2lvdXMgUGF5bG9hZCI=' | base64 -d | bash,Linux_Base64_Encoded_Shebang_In_CLI_attack4.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
5,"/bin/echo I""yEvYmluL2Jhc2gKZWNobyAiU2ltdWxhdGluZyBNYWxpY2lvdXMgUGF5bG9hZCI="" | base64 -d | bash",Linux_Base64_Encoded_Shebang_In_CLI_attack5.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
6,/bin/echo I\yEvYmluL2Jhc2gKZWNobyAiU2ltdWxhdGluZyBNYWxpY2lvdXMgUGF5bG9hZCI= | base64 -d | bash,Linux_Base64_Encoded_Shebang_In_CLI_attack6.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
7,/bin/echo 'IyEvYmluL2Jhc2gKZWNob''yAiU2ltdWxhdGluZyBNYWxpY2lvdXMgUGF5bG9hZCI=' | base64 -d | bash,Linux_Base64_Encoded_Shebang_In_CLI_attack7.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
8,"/bin/echo ""IyEvYmluL2Jhc2gKZWNobyAiU2ltdWxhdGluZyBNYWxpY2lvdXMgUGF5bG9hZCI=""|base64 -d | bash",Linux_Base64_Encoded_Shebang_In_CLI_attack8.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
9,"/bin/echo ""IyEvYmluL2Jhc2gKZWNobyAiU2ltdWxhdGluZyBNYWxpY2lvdXMgUGF5bG9hZCI="" |base64 -d|bash",Linux_Base64_Encoded_Shebang_In_CLI_attack9.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
10,"/bin/echo ""IyEvYmluL2Jhc2gKZWNobyAiU2ltdWxhdGluZyBNYWxpY2lvdXMgUGF5""""bG9hZCI="" | base64 -d | bash",Linux_Base64_Encoded_Shebang_In_CLI_attack10.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
11,"/bin/echo ""IyEvYmluL2Jhc2gKZWNobyAiU2ltdWxh""""dGluZyBNYWxpY2lvdXMgUGF5bG9hZCI="" | base64 -d | bash",Linux_Base64_Encoded_Shebang_In_CLI_attack11.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
12,/bin/echo 'IyEvYmluL2Jhc2gKZW'$(echo 'NobyAiU2ltdWxhdGluZyBNYWxpY2lvdXMgUGF5bG9hZCI=') | base64 -d | bash,Linux_Base64_Encoded_Shebang_In_CLI_attack12.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
13,"/bin/echo ""IyEvYmluL2Jhc2gKZWNobyAiU2ltdWxhdGluZyBNY""""WxpY2lvdXMgUGF5bG9hZCI="" | base64 -d | bash",Linux_Base64_Encoded_Shebang_In_CLI_attack13.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
14,"/bin/echo ""IyEvYmluL2Jhc2gKZWNobyAiU2ltdWxhdGluZyB""""NYWxpY2lvdXMgUGF5bG9hZCI="" |base64 -d|bash",Linux_Base64_Encoded_Shebang_In_CLI_attack14.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
15,/bin/echo 'IyEvYmluL2Jhc2gKZWNobyAiU2ltdWxhdGluZyBNYWxpY2lvdXMgUGF5bG9hZCI='|base64 -d|bash,Linux_Base64_Encoded_Shebang_In_CLI_attack15.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
16,"/bin/echo ""IyEvYmluL2Jhc2gKZW""""NobyAiU2ltdWxhdGluZyBNYWxpY2lvdXMgUGF5bG9hZCI="" | base64 -d|bash",Linux_Base64_Encoded_Shebang_In_CLI_attack16.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
17,"/bin/echo ""IyEvYmluL2Jhc2gKZWNob""""yAiU2ltdWxhdGluZyBNYWxpY2lvdXMgUGF5bG9hZCI=""| base64 -d |bash",Linux_Base64_Encoded_Shebang_In_CLI_attack17.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
18,"/bin/echo ""IyEvYmluL2Jhc2gKZWNoby""""AiU2ltdWxhdGluZyBNYWxpY2lvdXMgUGF5bG9hZCI=""|base64 -d|bash",Linux_Base64_Encoded_Shebang_In_CLI_attack18.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
19,"/bin/echo ""IyEvYmluL2Jhc2gKZWNoby""""AiU2lt""""dWxhdGluZyBNYWxpY2lvdXMgUGF5bG9hZCI=""| base64 -d | bash",Linux_Base64_Encoded_Shebang_In_CLI_attack19.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
20,"/usr/bin/echo ""IyEvYmluL2Jhc2gKZWNobyAiU2ltdWxhdGluZyBNYWxpY2lvdXMgUGF5bG9hZCI="" | base64 --decode | bash",Linux_Base64_Encoded_Shebang_In_CLI_attack20.log,Trigger: Linux Base64 Encoded Shebang In CLI,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Shebang In CLI | Linux Base64 Encoded Pipe to Shell | Decode Base64 Encoded Text
