ID,Command,Log File,Result,All Detected Rules
1,"awk 'BEGIN {system(""/bin/""sh"")}'",Suspicious_Invocation_of_Shell_via_AWK_attack1.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
2,"awk 'BEGIN {system(""/bi""n/sh)}'",Suspicious_Invocation_of_Shell_via_AWK_attack2.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
3,"awk 'BEGIN {system(""/bin/sh"" """")}'",Suspicious_Invocation_of_Shell_via_AWK_attack3.log,Trigger: Suspicious Invocation of Shell via AWK - Linux,Syslog Clearing or Removal Via System Utilities | Suspicious Invocation of Shell via AWK - Linux
4,"awk 'BEGIN {system(""/b""""in/sh"")}'",Suspicious_Invocation_of_Shell_via_AWK_attack4.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
5,"awk 'BEGIN {system(""/bin/s""""h"")}'",Suspicious_Invocation_of_Shell_via_AWK_attack5.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
6,"awk 'BEGIN {system(""/""bin/sh"")}'",Suspicious_Invocation_of_Shell_via_AWK_attack6.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
7,"awk 'BEGIN {system(""/bin//sh"")}'",Suspicious_Invocation_of_Shell_via_AWK_attack7.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
8,"awk 'BEGIN {system(""/bin/sh"" )}'",Suspicious_Invocation_of_Shell_via_AWK_attack8.log,Trigger: Suspicious Invocation of Shell via AWK - Linux,Syslog Clearing or Removal Via System Utilities | Suspicious Invocation of Shell via AWK - Linux
9,"awk 'BEGIN {system(""/bin/""""sh"")}'",Suspicious_Invocation_of_Shell_via_AWK_attack9.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
10,"awk 'BEGIN {system(""/bi""""n/s""""h"")}'",Suspicious_Invocation_of_Shell_via_AWK_attack10.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
11,"awk 'BEGIN {system(""/b"" ""in"" ""/sh"")}'",Suspicious_Invocation_of_Shell_via_AWK_attack11.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
12,"awk 'BEGIN {system(""/bin/sh""#)}'",Suspicious_Invocation_of_Shell_via_AWK_attack12.log,Trigger: Suspicious Invocation of Shell via AWK - Linux,Syslog Clearing or Removal Via System Utilities | Suspicious Invocation of Shell via AWK - Linux
13,"awk 'BEGIN {system(""/bin/sh/*"")}'",Suspicious_Invocation_of_Shell_via_AWK_attack13.log,Trigger: Suspicious Invocation of Shell via AWK - Linux,Syslog Clearing or Removal Via System Utilities | Suspicious Invocation of Shell via AWK - Linux
14,"awk 'BEGIN {system(""/bin/sh\0"")}'",Suspicious_Invocation_of_Shell_via_AWK_attack14.log,Trigger: Suspicious Invocation of Shell via AWK - Linux,Syslog Clearing or Removal Via System Utilities | Suspicious Invocation of Shell via AWK - Linux
