ID,Command,Log File,Result,All Detected Rules
1,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" |ba""se64"" -d| bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack1.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
2,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba\se64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack2.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
3,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba${EMPTY}se64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack3.log,Bypass All,None
4,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b''ase64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack4.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
5,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b\ase64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack5.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
6,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d|/bin/./bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack6.log,Bypass All,None
7,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d |/bin//bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack7.log,Bypass All,None
8,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b""ase64"" -d | b""ash""'",Linux_Base64_Encoded_Pipe_to_Shell_attack8.log,Bypass All,None
9,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ba\sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack9.log,Bypass All,None
10,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|ba""""se64 -d|bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack10.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
11,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d | `which bash`'",Linux_Base64_Encoded_Pipe_to_Shell_attack11.log,Bypass All,None
12,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| ba""""se64 -d| ba""""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack12.log,Bypass All,None
13,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" |ba\se64 -d|bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack13.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
14,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/ba""""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack14.log,Bypass All,None
15,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d |/bin/sh;:'",Linux_Base64_Encoded_Pipe_to_Shell_attack15.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
16,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d|bash #comment'",Linux_Base64_Encoded_Pipe_to_Shell_attack16.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
17,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b""""a""""s""""e64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack17.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
18,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d| /bin/ba\sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack18.log,Bypass All,None
