ID,Command,Log File,Result,All Detected Rules
1,"sudo apt -o ""APT::Update::Pre-Invoke::= 'whoami'; find /home /root -name id_rsa -o -name '*.conf' 2>/dev/null"" update -qq",Shell_Invocation_via_Apt_attack1.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
2,"sudo apt -o ""APT::Update::Pre-Invoke::=whoami ; find /home /root -name 'id_rsa' -o -name '*.conf' 2>/dev/null ;"" update -qq",Shell_Invocation_via_Apt_attack2.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
3,"sudo apt -o ""APT::Update::Pre-Invoke::= $(echo whoami); find /home /root -name id_rsa -o -name '*.conf' 2>/dev/null"" update -qq",Shell_Invocation_via_Apt_attack3.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
4,"sudo apt -o ""APT::Update::Pre-Invoke::=whoami; find /home /root -type f \( -name id_rsa -o -name '*.conf' \) 2>/dev/null"" update -qq",Shell_Invocation_via_Apt_attack4.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
5,"sudo apt -o ""APT::Update::Pre-Invoke::=whoami ; find /home /root -name 'id_rsa' -o -name '*.conf' 2>/dev/null || echo done"" update -qq",Shell_Invocation_via_Apt_attack5.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
6,"sudo apt -o ""APT::Update::Pre-Invoke::=whoami; echo check && find /home /root -name id_rsa -o -name '*.conf' 2>/dev/null"" update -qq",Shell_Invocation_via_Apt_attack6.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
7,"sudo apt -o ""APT::Update::Pre-Invoke::=whoami && find /home /root -name id_rsa -o -name '*.conf' 2>/dev/null"" update -qq",Shell_Invocation_via_Apt_attack7.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
8,"sudo apt -o ""APT::Update::Pre-Invoke::=whoami && echo marker; find /home /root -name id_rsa -o -name '*.conf' 2>/dev/null"" update -qq",Shell_Invocation_via_Apt_attack8.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
9,"sudo apt -o ""APT::Update::Pre-Invoke::=whoami; find /home -name id_rsa -o -name '*.conf' 2>/dev/null; echo done"" update -qq",Shell_Invocation_via_Apt_attack9.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
10,"sudo apt -o 'APT::Update::Pre-Invoke::= whoami ; find /home -name id_rsa -o -name ""*.conf"" 2>/dev/null' update -qq",Shell_Invocation_via_Apt_attack10.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
11,"sudo apt -o ""APT::Update::Pre-Invoke::=whoami;find /home /root \( -name id_rsa -or -name '*.conf' \) 2>/dev/null"" update -qq",Shell_Invocation_via_Apt_attack11.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
12,"sudo apt -o ""APT::Update::Pre-Invoke::=whoami && find /home -name '*.conf' 2>/dev/null || true"" update -qq",Shell_Invocation_via_Apt_attack12.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
13,"sudo apt -o ""APT::Update::Pre-Invoke::=whoami ; :; find /home -name id_rsa -o -name '*.conf' 2>/dev/null"" update -qq",Shell_Invocation_via_Apt_attack13.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
14,"sudo apt -o ""APT::Update::Pre-Invoke::=find /home /root -name id_rsa -o -name '*.conf' 2>/dev/null ; whoami"" update -qq",Shell_Invocation_via_Apt_attack14.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
15,"sudo apt -o ""APT::Update::Pre-Invoke::=echo test; whoami; find /home /root -name id_rsa -o -name '*.conf' 2>/dev/null"" update -qq",Shell_Invocation_via_Apt_attack15.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
16,"sudo apt -o ""APT::Update::Pre-Invoke::=whoami; printf ok; find /home /root -name id_rsa -o -name '*.conf' 2>/dev/null"" update -qq",Shell_Invocation_via_Apt_attack16.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
17,"sudo apt -o ""APT::Update::Pre-Invoke::=sleep 1; whoami; find /home -name '*.conf' 2>/dev/null"" update -qq",Shell_Invocation_via_Apt_attack17.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
18,"sudo apt -o ""APT::Update::Pre-Invoke::=whoami | cat; find /home -name '*.conf' 2>/dev/null"" update -qq",Shell_Invocation_via_Apt_attack18.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
19,"sudo apt -o ""APT::Update::Pre-Invoke::=true; whoami; find /home -name '*.conf' 2>/dev/null"" update -qq",Shell_Invocation_via_Apt_attack19.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
20,"sudo apt -o ""APT::Update::Pre-Invoke::=whoami; echo ';'; find /home -name '*.conf' 2>/dev/null"" update -qq",Shell_Invocation_via_Apt_attack20.log,Trigger: Shell Invocation via Apt - Linux,Syslog Clearing or Removal Via System Utilities | Local System Accounts Discovery - Linux | Shell Invocation via Apt - Linux | File and Directory Discovery - Linux | Chmod Suspicious Directory | File Deletion
